row;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
130.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
131.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
132.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
133.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
134.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
135.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
136.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
137.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
138.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
139.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
140.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
141.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
142.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
143.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
144.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
145.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
146.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
147.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
148.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
149.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
150.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
151.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
152.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
153.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
154.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
155.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
156.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
157.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
158.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
159.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
160.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
161.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
162.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
163.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
164.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
165.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
166.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
167.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
168.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
169.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
170.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
171.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
172.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
173.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
174.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
175.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
176.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
177.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
178.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
179.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
180.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
181.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
182.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
183.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
184.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
185.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
186.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
187.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-0.7670183660942462;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
188.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
189.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
190.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
191.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
192.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
193.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
194.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
195.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
196.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
197.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
198.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
199.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
200.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
201.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
202.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
203.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;0.23298163184460008;-10.0;-10.0;-0.34505189631199257;10.0;10.0;-0.3736640301193227;10.0;10.0;-0.36107479518431956;10.0;10.0;-0.3614759984464888;10.0;10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0;-10.0
